company_name,founded,city,industry,about,founders,investor,amount,series
Eka.care,2020.0,Bangalore,Healthcare,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp sahni,"Deep kalra, ashish kashyap, rajesh magow",4500000,
Easiloan,2020.0,Mumbai,Fintech,"A fintech startup, offering fast & easy digital processing of home loans in a completely reimagined and delightful way.","Pramod kathuria, vishal dawda",Tomorrow capital,1000000,
Nimblebox.ai,2018.0,Chennai,Mlops platform,A full-stack mlops platform built to create & launch multi-cloud apps on the cloud,"Anshuman pandey, rohan pooniwala",Venture catalysts,1000000,Seed
Bhyve,2020.0,Mumbai,Human resources,A future of work platform for diffusing employee tacit knowledge and enabling peer learning networks,Backed by 100x.vc,"Omkar pandharkame, ketaki ogale, ito angel network, letsventure",300000,
Gigforce,2019.0,Gurugram,Staffing & recruiting,A gig/on-demand staffing company.,"Chirag mittal, anirudh syal",Endiya partners,3000000,Pre-series a
We founder circle,2020.0,Mumbai,Fintech,"A global platform of founders for founders offering investment, network and business opportunities.",Neeraj tyagi,Geekster,"2,000,000",Pre-seed
Peakperformer,2020.0,Bangalore,Edtech,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.","Aishwarya goel, gaurav jhunjhnuwala",Antler india,undisclosed,Early seed
Answer genomics,2019.0,Bangalore,Healthcare,A healthcare company that uses genome-based data to help individuals make decisions.,Rahul ranganathan,"India accelerator, lyxel&flamingo",undisclosed,
Noto,2019.0,Mumbai,Consumer goods,"A healthy, low-calorie ice cream for the millennial indian with an incurable sweet tooth.","Varun sheth, ashni sheth","Titan capital, rockstud capital,  john abraham, weh ventures",500000,Pre-series a
Wakefit,2014.0,Bangalore,Furniture,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.","Ankit garg, chaitanya ramalingegowda",Sig,20000000,Series c
Akudo,2020.0,Bangalore,Financial services,A learning-first neobank for teenagers - enable practical financial education for child today,"Lavika aggarwal, sajal khanna, jgaveer gandhi","Y combinator, jafco asia, incubate fund india, marquee angels",4200000,Seed
Atomberg technologies,2012.0,Mumbai,Consumer electronics,A maker of energy-efficient smart fans,"Manoj meena, sibabrata das",Ka enterprises,undisclosed,
Pine labs,1998.0,Noida,Information technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish rau,"Fidelity, blackrock",600000,
Pine labs,1998.0,Noida,Information technology & services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish rau,Invesco developing markets fund,100000000,
Convosight,2019.0,New delhi,Saas startup,A mission - to help community builders become community entrepreneurs.,Tarun dhamija,Qualgro,9000000,Series a
Appsforbharat,2020.0,Bangalore,Spiritual,"A mission to assist a billion indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant sachan,"Sequoia capital india, beenext",4000000,Seed
Appsforbharat,2020.0,Bangalore,Product studio,"A mission to assist a billion indians in their spiritual journey, through a range of products & services",Prashant sachan,Elevation capital,10000000,Series a
Tranzact,2017.0,Mumbai,Information technology & services,A mission to digitize millions of indian smes so they can grow better.,"Ritesh kumar, sharad sen sharma, rohan sen sharma","Tribe capital, prime venture partners",7000000,Series a
Vah vah!,2020.0,Bangalore,Edtech,A mission to educate india and make its young and dynamic population job ready.,"Shailesh daxini, akash senapaty, muthukaleeshwaran subbiah",Sequoia surge,1800000,
Probus,2017.0,New delhi,Iot,"A mission to increase the per capita consumption of electricity in india by 10x, which is presently 1/3 of global average- by reducing the distribution losses in indian electricity distribution grid.","Anand singh, ankit vaish, sunny kumar jadoon",Unicorn india ventures,500000,Bridge
Earth rhythm,2020.0,Gurugram,Cosmetics,A mission to make customers healthier and earth a little greener.,Harini sivakumar,Anicut angel fund,1200000,Seed
Wickedgud,2021.0,Mumbai,Food & beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman dani,"Titan capital, archana priyadarshini, gaurav ahuja",340000,Pre-seed
Travclan,2018.0,New delhi,B2b travel,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,"Arun bagaria, ashish thapliyal",Theventures,2200000,Pre-series a
Mobileware technologies,2008.0,Mumbai,Information technology & services,"A mobile applications development platform for technologies including symbian, blackberry, and early versions of ios and android.","Amitabh kanekar, satyajit kanekar",Kvanto payment services,4700000,
Urbankisaan,2017.0,Hyderabad,Food & beverages,A modern farms close to where your home is. creating positive change at every step from seed to store ensuring quality and traceability.,"Srinivas chaganti, vihari kanukollu, sairam reddy",Basf venture capital gmbh,undisclosed,
Myfitness,2019.0,Silvassa,Fitness,"A new age d2c health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad patel, rahil virani",9unicorns,1000000,Seed
Pristyn care,2018.0,Gurugram,Hospital & health care,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Harsimarbir (harsh) singh, dr vaibhav kapoor, dr garima sawhney","Kunal shah, deepinder goyal, abhiraj singh bhal",96000000,Series e
Fashinza,2020.0,Gurugram,Apparel & fashion,A new-age supply chain and product development platform for the fashion industry.,"Pawan gupta, abhishek sharma","Accel partners, elevation capital",20000000,Series a
Sporjo,2020.0,Mumbai,Sportstech,A one stop destination to build a successful career in the indian sports industry!,G srinivvasan,Punit balan,2000000,Pre-series a
Sporjo,2020.0,Mumbai,Sportstech,A one stop destination to build a successful career in the indian sports industry!,G srinivvasan,Punit balan,2000000,
Heads up for tails,2008.0,New delhi,Pet care,"A one stop shop for all pet products with paw prints all across india, we design, manufacture and customize stylish",Rashi sanon,"Verlinvest, sequoia capital india",37000000,Series a
Bluepad,2020.0,Bangalore,Online media,A one-stop solution for aggregated content  in vernacular languages,"Sanjyot bhosale, devakrishna asokar, kishore garimella","Titan capital, angellist's syndicate",200000,Pre-seed
Kiwi,2020.0,New delhi,Taas startup,"A peer to peer support network, which would enable billions of users across the world","Imran ladiwala, mishu ahluwalia","Pointone capital, core91 vc","250,000",Seed
Qoohoo,2020.0,Bangalore,Social platform,A platform for creators to build immersive connections with their fans and followers and monetize them.,"Vimal singh rathore, aseem gupta",Angel investors,"800,000",Seed
Mosaic wellness,2019.0,Mumbai,"Health, wellness & fitness",A platform of digital first health clinics for men and women,Dhyanesh shah,Sequoia,24000000,Series a
Bricspaces,2018.0,Bangalore,Real estate,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Madhusudhan,Angel investors,"350,000",Pre-seed
Masterchow,2020.0,Food & beverages,Hauz khas,A ready-to-cook asian cuisine brand,"Vidur kataria, sidhanth madan",Weh ventures,461000,Seed
Fanplay,2020.0,,Computer games,A real money game app specializing in trivia games,Yc w21,"Pritesh kumar, bharat gupta, upsparks",1200000,
Simple energy,2019.0,Bangalore,Automotive,A research and development driven company on a mission to build the future of mobility that is electric and connected.,Suhas rajkumar,,21000000,Pre-series
Elevar,2017.0,Mumbai,Sports,"A revolutionary sports brand, engineered for those who want more.","Kunal joshi, pranav marwah","Kalaari capital, dream capital",2000000,
Karnival,2015.0,Bangalore,Saas startup,A saas platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj tyagi,Http://100x.vc/,"2,500,000",Seed
Chara,2019.0,Bangalore,Deep tech,"A scalable, cloud-controlled, and rare earth mineral free hardware and software platform for the switched reluctance motor and other magnet free motor technologies.","Bhaktha keshavachar, ravi prasad sharma, mahalingam koushik",Kalaari capital,"850,000",Seed
Hypd store,2020.0,New delhi,Content commerce,"A shop worthy content platform, personalized!","Ashwarya garg, akshay bhatnagar",Scoopwhoop,Undisclosed,Pre-seed
Manch technologies,2017.0,Bangalore,Information technology & services,"A single click work flow e-sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",Suresh anantpurkar,Bharat inclusion,1000000,Pre-series a
Cogos technologies,2016.0,Bangalore,Logistics & supply chain,A smart-tech-enabled platform offering a one-stop destination for all the intra-city link-supply chain.,Prasad sreeram,Transworld group,2000000,Pre-series a
Onato,2021.0,Bangalore,Computer software,A startup solving inefficiencies in the agri supply chain,"Vedant katiyar, ashish jindal","Vertex ventures, omnivore",2200000,
Lavado,2016.0,Mumbai,Consumer service,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,Disha jain,Ashish shah,undisclosed,
Tinkerly,2015.0,Jaipur,Edtech,"A stem learning online-offline solutions provider that makes stem learning & coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.","O.p. godara, vivek pathak, kapil arya, sharad bansal",Navneet education,800000,
Klub,2019.0,Bangalore,Financial services,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.","Anurakt jain, ishita verma",Trifecta capital,2000000,Debt
Legalpay,2019.0,New delhi,Fintech,A tech focused b2b litigation finance company in india.,Kundan shahi,Ashwini kakkar. 9unicorns,undisclosed,
Admitkard,2016.0,Noida,Edtech,A tech solution for end to end career advisory to students looking to study abroad.,"Vamsi krishna, pulkit jain, gaurav munjal	#ref!",1000000,Pre-series a,
Powerhouse91,2020.0,Gurugram,Consumer goods,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in india.","Shashwat diesh, aqib mohammed",Crossbeam venture partners,undisclosed,Seed
Siply,2020.0,Bangalore,Financial services,"A tech-enabled micro-savings platform, for the underserved masses, that makes it possible to save starting at re. 1","Sousthav chakrabarty, anil bhat","Letsventure, angellist india, founder's room circle",3200000,Pre-series a
Homeville,2017.0,Mumbai,Information technology & services,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,Madhusudan sharma,"9unicorns, varanium nexgen fund",7000000,
Paycardo,2021.0,Pune,Financial services,A true contactless & cashless and secure payment system reducing cash dependency,"Vivek kumar choubey, vivek kumar",Magehold,undisclosed,Pre-seed
Legalpay,2019.0,New delhi,Fintech,A trusted financial partner for advocates and corporate.,Kundan shahi,9unicorns,Undisclosed,Seed
Kenko health,2019.0,Mumbai,Insuretech,"A unique healthcare financing solution focusing on roi, affordability and superior customer experience","Aniruddha sen, dhiraj goel","Beenext, orios",1700000,Pre-series a
Coffeemug.ai,2020.0,New delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek sharma, dipti tandon","Paradigm shift capital, angellist india",620000,Pre-seed
Nephroplus,2009.0,Hyderabad,Hospital & health care,"A vision and passion of redefining healthcare delivery in india in 2010, nephroplus today is india’s largest network of dialysis centres.",Vikram vuppala,Iifl asset management,24000000,Series e
Chai waale,2018.0,Chennai,Food & beverages,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur maheswari,"Sunil sethia, sunil kumar singhvi, manish mardia",600000,
Applicateai,2014.0,Gurugram,Information technology & services,"‘applicateai’ is an integrated ai bot platform for enterprise with defined and curated work-flows for sales, consumer engagement and employee support and engagement.","Madhusudan atmakuri, ranjeet kumar",,30000000,Series a
Foreignadmits,2018.0,Bangalore,Higher education,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,"Nikhil jain, ashwini jain",Unicorn india ventures,400000,Seed
Zepto,2021.0,Bangalore,E-commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Aadit palicha, kaivalya vohra",Y-combinator,100000000,
Abl workspaces,2017.0,New delhi,Hospitality,Abl workspaces is a co-working space where professionals from all walks of life come to work under one roof.,"Ankur gupta, akshita gupta",Wurk,"600,000",Pre-series a
Accio robotics,2020.0,Bangalore,Industrial automation,Accio robotics is involved in the designing and manufacturing of state-of-the-art robotics automation solutions.,"Tuhin sharma, pranav srinivasan",Uday sodhi,undisclosed,
Acknoledger,2021.0,Mumbai,Crypto,Acknoledger is a global platform that distributes web 3.0 digital assets seamlessly across all the metaverses and gaming,Yash dahenkar,"Momentum 6, basics capital, krypital capital, shima capital, magnus capital",1500000,Seed
Acko,2016.0,Bangalore,Insurance,Acko is india’s first and fastest growing insurtech company which makes buying and using insurance effortless.,"Varun dua, ruchi deepak","General atlantic, multiples",255000000,Series d
Weskill,2020.0,Gurugram,E-learning,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shaurya joshi, shashank patidar, praneet agarwal","Shrishti sahu, umang vohra",4000000,Pre-seed
Aerchain,2019.0,Bangalore,Computer software,Advance source-to-pay cycle to a new level with artificial intelligence!,"Harsha kadimisetty, himavanth jasti","Season two ventures, indiamart",3000000,Pre-series a
Ion energy,2016.0,Mumbai,Automotive,Advanced electronics & software supplier for electric vehicles & battery energy storage,Akhil aryan,,3600000,Pre-series a
Advantage club,2014.0,Mumbai,Hrtech,"Advantage club is india's largest employee engagement platform, provide end to end employee benefit management with state of the art products like:","Sourabh deorah, smiti bhatt deorah","Y combinator, broom ventures, kunal shah",1700000,
Advantage club,2014.0,Gurugram,Hr tech,Advantage club is india's largest employee engagement platform.,Sourabh deorah,"Y combinator, jetty ventures, earlsfield capital, smc advisors, kunal shah",3300000,Pre-series a
Bimaplan,2020.0,Bangalore,Insuretech,Affordable insurance for the next billion indians,Vikul goyal,"Roshan abbas, ritesh malik",2500000,Pre-series a
Bimaplan,2020.0,Mumbai,Fintech,Affordable insurance for the next billion indians,Vikul goyal,"Titan capital, y combinator","500,000",Seed
Minimalist,2020.0,Jaipur,Cosmetics,Affordable skincare for all,"Mohit, rahul yadav",Sequoia capital,10000000,Series a
Agnext,2016.0,Chandigarh,Agritech,"Agnext is a fast-growing agtech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet singh bhamra,Alpha wave incubation,21000000,Series a
Agnikul,2017.0,Chennai,Spacetech,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Moin spm, satyanarayanan chakravarthy, srinath ravichandran","Artha india ventures, sriram krishnan","11,000,000",Series a
Agri10x,2018.0,Pune,Agritech,Agri10x integrates the entire agri value-chain through a digital cooperative platform by harnessing emerging technologies,"Abhijith naraparaju, pankajj p. ghode, sundeep bose",Omnivore,Undisclosed,Seed
Agrostar,2013.0,Pune,Agritech,"Agrostar is one of india’s foremost agtech start-ups, working on the mission of #helpingfarmerswin.","Shardul, sitanshu sheth","Evolvence, hero enterprise",70000000,Series d
Bytelearn,2021.0,Noida,E-learning,Ai powered teaching assistant for 100 mn teachers across the world,,"Aditya singhal, nishant sinha",9500000,Seed
Leena ai,2015.0,Gurugram,Computer software,Ai to help enterprises transform the employee experience.,"Mayank goyal, anand prajapati",Bessemer venture partners,30000000,Series b
Goodmeetings,2020.0,Bangalore,Computer software,Ai-based platform built exclusively for remote selling,Srinivasan narayan,Chiratae ventures,1700000,Series a
Ixigo,2007.0,Gurugram,It,"Ai-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish kumar, aloke bajpai","Gic, infoedge",53000000,
Leverage edu,2017.0,New delhi,Edtech,Ai-enabled marketplace designed to help students with their higher education and career growth plans,Akshay chaturvedi,"Trifecta capital advisors, blume ventures",2000000,Debt
Careerlabs,2019.0,Bangalore,Edtech,"Aim to help students become future-ready, setting them on a path to success that suits them best.","Pn santosh, prasanna alagesan, krithika srinivasan",Global founders capital,"2,200,000",
Sapio analytics,2019.0,Mumbai,Computer software,Aim to provide the most intelligent ai-powered policy making solutions for government institutions across the world.,"Ashwin srivastava, hardik somani, prashant nikam",Parthiv group,150000,
Cloudsek,2015.0,Bangalore,Computer & network security,Ai-powered digital risk monitoring platform that provides real-time visibility of cyber threats and actionable intel.,Rahul sasi,Massmutual ventures,7000000,Series a
Orai,2020.0,Bangalore,It startup,Ai-powered robotic virtual assistant (rva) for amplifying performance of poor quality leads and bring more mql and sql,"Swapnil jain, sujit das biswas",Inflection point ventures,"400,000",Pre-series a
Airblack,2019.0,Gurugram,It startup,Airblack is on a mission to help people convert their passion to a livelihood.,"Videt jaiswal, vaibhav raj gupta","Edge ventures, elevation capital",5200000,Series a
Aisle,2014.0,Bangalore,Dating,Aisle connects the new generation of single independent indians from around the world looking for meaningful relationships.,Able joseph,"Anas rahman junaid, vinod jose",Undisclosed,Pre-series a
Akudo,2020.0,Bangalore,Fintech,Akudo is pioneering the concept of learning-first banking for teenagers.,"Lavika aggarwal, sajal khanna, jagveer gandhi","Y combinator, incubate fund india",undisclosed,Pre-seed
Almo,2020.0,Gurugram,D2c fashion,Almo is a premium men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek shah,Angelist india,undisclosed,Seed
Alteria capital,2018.0,Mumbai,Fintech,Alteria capital is a venture debt firm .,Vinod murali,,"150,000,000,000",Debt
Vital,2018.0,New delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",Rahul kumar,Blinc invest,3000000,Pre-series a
Medtel healthcare,2017.0,Orissia,Healthcare,An aggregator for digital health clinics in low resource settings.,"Ajit choudhury, lalit ranjan manik, manish kumar swain, shashank singhal, siba prasad panda",,"5,000,000",Pre-series a
Disprz,2015.0,Mumbai,E-learning,An ai-powered right skilling suite that helps enterprises unlock business potential.,"Subramanian viswanathan, kuljit chadha","Dallas venture capital, mars growth capital",13000000,Series b
Pear,2018.0,Mumbai,Deeptech,An ar / vr tech based start-up in mumbai.,"Dharmin vora, dhruvesh mehta, parth vora",Inflection point ventures,300000,Pre-series a1
Flo mobility,2019.0,Bangalore,Industrial automation,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.","Manesh jain, mohan kumar","Devx venture fund, blume founder fund",400000,
Sirona hygiene,2015.0,New delhi,"Health, wellness & fitness","An award-winning brand, committed to solving those intimate & menstrual hygiene issues for women",Deep bajaj,The good glamm group,10000000,
Owo technologies,2020.0,Gurugram,Food & beverages,An ecommerce startup offering online beverages and packaged drinking water,"Ajay changani, hardev sahu",,3000000,Seed
Convegenius,2013.0,Noida,Education management,An edtech social enterprise focused on closing the gap in educational achievement for children and youth in india.,"Jairaj bhattacharya, shashank pandey","Bace capital, heritas capital, 3lines venture capital",5000000,Pre-seed
Credenc,2017.0,New delhi,Fintech,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash kumar,Capital india,25000000,
3sc,2018.0,Gurugram,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, sarita das",Gef capital’s south asia fund,15000000,Series b
Fitpage,2020.0,Mumbai,"Health, wellness & fitness","An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Vikas singh,"Astra ventures, gaurav jaitly",300000,
Practically,2018.0,Hyderabad,E-learning,An experiential learning app for grades 6th to 12th.,"Subbarao siddabattula, charu noheria, ilangovel thulasimani","Nb ventures, earlsfield capital",5000000,
Troo good,2018.0,Hyderabad,E-commerce,An fmcg company selling nutritious products at an affordable price points.,Raju bhupati,Oaks asset management,7000000,Series a
Eventbeep,2019.0,Pune,Edtech,An inclusive community where students are inspired and empowered to reach their full potential,"Saurabh mangrulkar, rakhi pal, venkatesh prasad","Sucseed  indovation fund, uincept, palimala ventures",,
Shumee,2014.0,Bangalore,Retail,"An indian, mom-made toy brand passionate about making playtime development-friendly, child-safe, and sustainable. our design philosophy is that play is 90% child and 10% toy.",Meeta sharma gupta,Dia mirza,undisclosed,
Sp robotic works,2012.0,Chennai,Edtech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha priya, pranavan s",Mount judi india growth fund,3000000,Series a
Imagimake,2011.0,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Disha katharani, ravi kumar","Roha investment managers, angel investor saumil shah",500000,Pre-series a
Kirana247,2018.0,New delhi,Logistics & supply chain,An on-demand fmcg supply chain company leveraging a deep tech-enabled micro warehousing model to serve kirana stores.,"Tarun jiwarajka, pankhuri jiwarajka",,1000000,Pre-series a
Kirana247,2018.0,New delhi,Logistics & supply chain,An on-demand fmcg supply chain company leveraging a deep tech-enabled micro warehousing model to serve kirana stores.,"Tarun jiwarajka, pankhuri jiwarajka",,1000000,
Awon gamez,2020.0,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep bajpai,Aditya duggar,2000000,Seed
Sleepycat,2017.0,Mumbai,Furniture,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir siddiq,"Saama capital, dsg consumer partners, sharrp ventures",3800000,
Kyt,2020.0,Bangalore,Edtech,"An online-first, global academy for extracurricular learning | private & small group online classes for kids","Bhavik rathod, tripti ahuja",Alpha wave incubation,"5,000,000",Series a
Anar,2019.0,Mumbai,Information technology & services,Anar business community app is a platform where businesses can create their free profile and grow their business network all over india.,"Nishank jain, sanjay bhat","Elevation capital, accel india",6200000,Seed
Anar business community,2020.0,Mumbai,Tech startup,Anar is a communications and networking platform for businesses around the world.,"Nishank jain, sanjay bhat","Titan capital, first cheque",Undisclosed,
Anka summor,2017.0,Bangalore,Sales and distribution,"Anka summor is the service that allows businesses to focus on building their brands, while they provide supply & distribution expertise.","Rajiv joshi, ashok george",Inflection point ventures,1000000,Pre-series a
Annapurna finance,2009.0,Bhubaneswar,Fintech,Annapurna microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,Gobinda chandra pattnaik,"Asian development bank, oman india joint investment fund","30,000,000",
Ans commerce,2017.0,Gurugram,E-commerce,Ans commerce is india’s #1 full-stack e-commerce enabler helping brands sell online.,"Amit monga, nakul singh, vibhor sahare, sushant puri","Gokul rajaram, venture catalysts",2200000,Pre-series a
Ansr,2008.0,Bangalore,Consulting,"Ansr consulting is providing end-to-end services for companies, setting up captive service centers.",Lalit ahuja,"Sistema asia capital, evolvence india fund","15,000,000",Series b
